gene,cell_pathway
Cd44,FN1
Cd44,LAMININ
Cd44,SELE
Cd47,THBS
Cd47,SIRP
Cd55,ADGRE
Cd72,SEMA4
Cd8a,CEACAM
Cd8a,LCK
Cd8a,MHC-I
Cd8b1,LCK
Cd8b1,MHC-I
Cd96,NECTIN
Cdh1,CDH
Cdh11,ANGPTL
Cdh12,CDH
Cdh2,CDH
Cdh3,CDH
Cdh4,CDH
Cdh5,ANGPTL
Cdh5,CDH5
Ceacam1,CEACAM
Cga,TSH
Chrm1,Ach
Chrm2,Ach
Chrm3,Ach
Chrm4,Ach
Chrm5,Ach
Chrna1,SLURP
Chrna2,SLURP
Chrna4,SLURP
Chrna6,SLURP
Chrna7,SLURP
Chrna7,Ach
Chrnb1,SLURP
Chrnb2,SLURP
Chrnb3,SLURP
Chrnb4,SLURP
Chrnd,SLURP
Chrng,SLURP
Cldn1,CLDN
Cldn2,CLDN
Cmklr1,CHEMERIN
Cnr2,2-AG
Cntn1,CNTN
Cntn2,CNTN
Cntnap1,CNTN
Col4a1,ADGRG
Col4a2,ADGRG
Col4a3,ADGRG
Col4a5,ADGRG
Cr2,COMPLEMENT
Cr2,CD23
Crabp2,RA
Crhr1,CRH
Crhr1,UCN
Crhr2,CRH
Crhr2,UCN
Crlf2,IL2
Csf1r,CSF
Csf2rb,IL4
Csf3r,CSF3
Ctla4,CD80
Ctla4,CD86
Ctla4,ICOS
Cubn,ApoA
Cx3cr1,CX3C
Cxcr1,CXCL
Cxcr2,CXCL
Cxcr2,MIF
Cxcr3,CXCL
Cxcr4,CXCL
Cxcr4,MIF
Cxcr5,CXCL
Cxcr6,CXCL
Cysltr1,CysLTs
Dag1,LAMININ
Dag1,AGRN
Dag1,HSPG
Dag1,NRXN
Dcc,Netrin
Drd1,Dopamine
Drd1,SerotoninDopamin
Drd2,Dopamine
Drd2,SerotoninDopamin
Drd3,Dopamine
Drd3,SerotoninDopamin
Drd4,Dopamine
Drd4,SerotoninDopamin
Drd5,Dopamine
Drd5,SerotoninDopamin
Dsc1,DESMOSOME
Dsc3,DESMOSOME
Dscam,Netrin
Dsg2,DESMOSOME
Edar,EDA
Ednra,EDN
Ednrb,EDN
Egfr,EGF
Egfr,EPGN
Entpd1,CD39
Epb41l1,CADM
Epha1,EPHA
Epha2,EPHA
Epha3,EPHA
Epha4,EPHA
Epha4,EPHB
Epha5,EPHA
Epha7,EPHA
Ephb1,EPHB
Ephb2,EPHA
Ephb2,EPHB
Ephb3,EPHB
Ephb4,EPHB
Epor,EPO
Erbb2,EGF
Erbb2,NRG
Erbb3,NRG
Erbb4,EGF
Erbb4,NRG
Esam,ESAM
Esr1,DHEA
Esr1,Estradiol
Esr2,Estradiol
F11r,JAM
F2r,PARs
F2r,KLK
F2r,PROCR
F2rl1,PARs
F2rl1,KLK
F2rl2,PARs
F2rl3,PARs
Fas,FASLG
Fgfr1,FGF
Fgfr1,NCAM
Fgfr2,FGF
Fgfr3,FGF
Fgfr4,FGF
Flt3,FLT3
Fpr1,ANNEXIN
Fpr1,TAFA
Fpr1,CTSG
Fpr2,ANNEXIN
Fpr2,SAA
Fpr2,LXA4
Fshr,FSH
Fzd1,WNT
Fzd1,ncWNT
Fzd10,WNT
Fzd10,ncWNT
Fzd2,WNT
Fzd2,ncWNT
Fzd3,WNT
Fzd3,ncWNT
Fzd4,WNT
Fzd4,ncWNT
Fzd5,WNT
Fzd5,ncWNT
Fzd6,WNT
Fzd6,ncWNT
Fzd7,WNT
Fzd7,ncWNT
Fzd8,WNT
Fzd8,ncWNT
Gabbr1,GABA-B
Gabbr2,GABA-B
Galp,GALANIN
Galr1,GALANIN
Galr2,GALANIN
Gast,ADGRG
Gcgr,GCG
Gfra1,GDNF
Gfra2,GDNF
Gfra3,GDNF
Ghr,GH
Ghrhr,GHRH
Ghsr,GHRELIN
Ghsr,GHRH
Gipr,GIPR
Gja1,GAP
Gja3,GAP
Gja5,GAP
Gjc1,GAP
Glg1,SELE
Glp1r,GCG
Glra1,Glycine
Glra2,Glycine
Gnrhr,GNRH
Gper1,Estradiol
Gpr37l1,PSAP
Gpr83,NPY
Gria1,Glutamate
Gria2,Glutamate
Gria3,Glutamate
Gria4,Glutamate
Grid2,Glutamate
Grik1,Glutamate
Grik2,Glutamate
Grik3,Glutamate
Grik4,Glutamate
Grin1,Glutamate
Grin2a,Glutamate
Grin2b,Glutamate
Grin2c,Glutamate
Grin2d,Glutamate
Grm1,Glutamate
Grm2,Glutamate
Grm3,Glutamate
Grm4,Glutamate
Grm6,Glutamate
Grm8,Glutamate
Grp,GRP
Grpr,GPR
Havcr2,GALECTIN
Hcrtr1,HCRT
Hcrtr2,HCRT
Hrh1,Histamine
Hrh3,Histamine
Htr1a,5-HT
Htr1a,SerotoninDopamin
Htr1b,5-HT
Htr1b,SerotoninDopamin
Htr1d,5-HT
Htr1d,SerotoninDopamin
Htr1f,5-HT
Htr1f,SerotoninDopamin
Htr2a,5-HT
Htr2a,SerotoninDopamin
Htr2b,5-HT
Htr2b,SerotoninDopamin
Htr2c,SerotoninDopamin
Htr3a,SerotoninDopamin
Htr3b,SerotoninDopamin
Htr4,5-HT
Htr4,SerotoninDopamin
Htr7,5-HT
Htr7,SerotoninDopamin
Icos,ICOS
Ifnar1,IFN-I
Ifnar2,IFN-I
Ifngr1,IFN-II
Ifngr2,IFN-II
Ifnlr1,IFN-lII
Igf1r,IGF
Igf2r,IGF
Igfbp3,IGFBP
Ighm,GALECTIN
Igsf11,VISTA
Il10ra,IL10
Il11ra1,IL6
Il12rb1,IL12
Il12rb2,IL12
Il13ra1,IL4
Il13ra2,IL4
Il15ra,IL2
Il17ra,IL17
Il17rb,IL17
Il17rc,IL17
Il18r1,IL1
Il18rap,IL1
Il1r1,IL1
Il1rap,IL1
Il1rl1,IL1
Il21r,IL2
Il22ra1,IL10
Il23r,IL12
Il27ra,IL12
Il2ra,IL2
Il2rb,IL2
Il2rg,IL2
Il3ra,IL4
Il5ra,IL4
Il6st,IL6
Il6st,IL12
Il6st,LIFR
Il6st,OSM
Il7r,IL2
Itga1,ANGPTL
Itga1,COLLAGEN
Itga1,LAMININ
Itga1,CDH1
Itga1,SEMA7
Itga11,COLLAGEN
Itga2,COLLAGEN
Itga2,LAMININ
Itga2,CHAD
Itga2,CSPG4
Itga2b,CD40
Itga2b,FN1
Itga2b,VTN
Itga2b,TENASCIN
Itga2b,VWF
Itga3,COLLAGEN
Itga3,FN1
Itga3,LAMININ
Itga3,RELN
Itga3,THBS
Itga3,JAM
Itga4,SPP1
Itga4,MK
Itga4,FN1
Itga4,L1CAM
Itga4,MADCAM
Itga4,VCAM
Itga5,CD40
Itga5,SPP1
Itga5,VISFATIN
Itga5,ANGPTL
Itga5,ANGPT
Itga5,FN1
Itga6,NRG
Itga6,IGF
Itga6,MK
Itga6,LAMININ
Itga7,LAMININ
Itga8,SPP1
Itga8,FN1
Itga8,VTN
Itga8,TENASCIN
Itga8,NPNT
Itga9,SPP1
Itga9,COLLAGEN
Itga9,LAMININ
Itga9,TENASCIN
Itga9,VCAM
Itgae,CDH1
Itgal,ICAM
Itgal,JAM
Itgam,CD40
Itgam,COMPLEMENT
Itgam,CD23
Itgam,GP1BA
Itgam,ICAM
Itgam,JAM
Itgam,THY1
Itgav,NRG
Itgav,IGF
Itgav,SPP1
Itgav,ANGPTL
Itgav,PTN
Itgav,PERIOSTIN
Itgav,COLLAGEN
Itgav,FN1
Itgav,LAMININ
Itgav,THBS
Itgav,VTN
Itgav,TENASCIN
Itgav,DSPP
Itgav,VWF
Itgav,BSP
Itgav,DMP1
Itgav,CD23
Itgav,JAM
Itgav,L1CAM
Itgav,THY1
Itgav,ADGRA
Itgav,ADGRB
Itgav,ADGRE
Itgax,COMPLEMENT
Itgax,CD23
Itgax,ICAM
Itgax,THY1
Itgb1,CD40
Itgb1,SPP1
Itgb1,VISFATIN
Itgb1,ANGPTL
Itgb1,ANGPT
Itgb1,MK
Itgb1,COLLAGEN
Itgb1,FN1
Itgb1,LAMININ
Itgb1,CHAD
Itgb1,RELN
Itgb1,THBS
Itgb1,VTN
Itgb1,TENASCIN
Itgb1,NPNT
Itgb1,DSPP
Itgb1,CDH1
Itgb1,CSPG4
Itgb1,JAM
Itgb1,SEMA7
Itgb1,VCAM
Itgb1,ADGRE
Itgb2,CD40
Itgb2,COMPLEMENT
Itgb2,CD23
Itgb2,GP1BA
Itgb2,ICAM
Itgb2,JAM
Itgb2,THY1
Itgb3,NRG
Itgb3,IGF
Itgb3,CD40
Itgb3,SPP1
Itgb3,ANGPTL
Itgb3,PTN
Itgb3,PERIOSTIN
Itgb3,FN1
Itgb3,THBS
Itgb3,VTN
Itgb3,TENASCIN
Itgb3,VWF
Itgb3,BSP
Itgb3,DMP1
Itgb3,CD23
Itgb3,L1CAM
Itgb3,THY1
Itgb3,ADGRA
Itgb3,ADGRE
Itgb4,NRG
Itgb4,IGF
Itgb4,LAMININ
Itgb5,SPP1
Itgb5,PERIOSTIN
Itgb5,VTN
Itgb5,BSP
Itgb5,ADGRB
Itgb6,SPP1
Itgb6,FN1
Itgb6,TENASCIN
Itgb6,DSPP
Itgb7,FN1
Itgb7,CDH1
Itgb7,L1CAM
Itgb7,MADCAM
Itgb7,VCAM
Itgb8,COLLAGEN
Itgb8,FN1
Itgb8,LAMININ
Itgb8,VTN
Jag1,CD46
Jam2,JAM
Jam3,JAM
Kdr,SEMA6
Kiss1r,KISS1
Kit,KIT
Klk5,KLK
Klk6,KLK
Klrb1,CLEC
Klrb1c,CLEC
Klrc1,MHC-I
Klrd1,MHC-I
Klrg1,CDH1
Klrk1,MHC-I
Klrk1,NKG2D
L1cam,CNTN
L1cam,L1CAM
L1cam,NCAM
Lama2,ADGRG
Lepr,LEP
Lgals9,GALECTIN
Lhcgr,LHB
Lifr,LIFR
Lifr,OSM
Lpar1,ADGRE
Lpar2,ADGRE
Lrp1,MK
Lrp5,WNT
Lrp6,WNT
Lrp8,RELN
Lrrtm1,NRXN
Lrrtm3,NRXN
Ltb4r1,CysLTs
Ltb4r1,12oxoLTB4
Ltbr,LT
Ltbr,LIGHT
Madcam1,SELL
Mag,MAG
Marco,UGRP1
Mas1,AGT
Mc1r,MELANOCORTIN
Mc3r,MELANOCORTIN
Mc4r,MELANOCORTIN
Mc5r,MELANOCORTIN
Mcam,ncWNT
Mertk,PMCH
Mertk,GAS
Mertk,PROS
Mertk,TULP
Met,HGF
Mmp2,MMP
Mpl,THPO
Mrc1,CD45
Mtnr1a,Melatonin
Mtnr1b,Melatonin
Ncam1,NCAM
Ncam2,NCAM
Ncl,MK
Ncl,PTN
Nectin2,NECTIN
Nectin3,CADM
Nectin3,NECTIN
Ngfr,NGF
Ngfr,NT
Nlgn2,NRXN
Nlgn3,NRXN
Nmur1,NMU
Notch1,CNTN
Notch1,NOTCH
Notch2,CNTN
Notch2,NOTCH
Notch3,NOTCH
Notch4,NOTCH
Npbwr1,NPW-B
Npffr2,NPFF
Npffr2,NPVF
Npr1,NPR1
Npsr1,NPS
Npy1r,NPY
Npy2r,NPY
Npy4r,NPY
Nr1h2,Desmosterol
Nr1h3,Desmosterol
Nr1h4,27HC
Nr1h4,Androsterone
Nr1i2,DHEA
Nr1i2,Estradiol
Nr1i2,Pregnenolone
Nr3c1,Aldo
Nr3c1,Cort
Nr3c2,Aldo
Nr3c2,Cort
Nr3c2,Desoxycorticosterone
Nrcam,CNTN
Nrg1,NRG
Nrp1,SEMA3
Nrp1,SEMA4
Nrp2,SEMA3
Ntf3,NT
Ntf5,NT
Ntn1,Netrin
Ntn4,Netrin
Ntng1,NGL
Ntng2,NGL
Ntrk1,NT
Ntrk2,NT
Ntrk2,Netrin
Ntrk3,NT
Ntrk3,PTPR
Nts,NTS
Ntsr1,NTS
Ntsr2,NTS
Ocln,OCLN
Oprd1,OPIOID
Oprk1,OPIOID
Oprl1,OPIOID
Oprm1,OPIOID
Osmr,IL6
Osmr,OSM
Oxtr,OXT
P4hb,GALECTIN
Pard3,PARs
Pcdha2,PCDH
Pcdha7,PCDH
Pdcd1,PD-L1
Pdcd1,PDL2
Pdgfra,PDGF
Pdgfrb,PDGF
Pecam1,PECAM1
Pecam1,PECAM2
Pgr,5alphaP
Pirb,ANGPTL
Plau,PLAU
Plaur,VTN
Plaur,PLAU
Plxna1,SEMA3
Plxna1,SEMA4
Plxna1,SEMA5
Plxna1,SEMA6
Plxna2,SEMA3
Plxna2,SEMA4
Plxna2,SEMA6
Plxna3,SEMA3
Plxna3,SEMA4
Plxna3,SEMA5
Plxna4,SEMA3
Plxna4,SEMA4
Plxna4,SEMA6
Plxnb2,SEMA4
Plxnc1,SEMA7
Plxnd1,SEMA3
Pnoc,OPIOID
Podxl,SELL
Ppara,DHEA
Ppara,DHEAS
Pparg,DHEAS
Prokr2,PROK
Ptch1,HH
Ptch2,HH
Ptgdr,Prostaglandin
Ptger1,Prostaglandin
Ptger2,Prostaglandin
Ptger3,Prostaglandin
Ptger4,Prostaglandin
Ptgfr,Prostaglandin
Ptgir,Prostaglandin
Pth1r,PTH
Pth2r,PTH
Ptprf,NGL
Ptprf,PTPR
Ptprz1,MK
Ptprz1,PTN
Qrfpr,QRFP
Ramp3,ADM
Ramp3,CALC
Ramp3,IAPP
Rara,RA
Rarb,RA
Rarg,RA
Reln,RELN
Robo1,SLIT
Robo2,SLIT
Rora,Cholesterol
Rorb,RA
Rorc,Cholesterol
Rtn4r,ADGRB
Rxfp1,RLN
Rxfp2,RLN
Rxfp3,RLN
Rxra,RA
Rxrb,RA
Rxrg,RA
Sdc1,ANGPTL
Sdc1,MK
Sdc1,PTN
Sdc1,COLLAGEN
Sdc1,FN1
Sdc1,THBS
Sdc1,TENASCIN
Sdc1,ADGRA
Sdc2,ANGPTL
Sdc2,MK
Sdc2,PTN
Sdc2,ADGRA
Sele,CEACAM
Sele,SELPLG
Sell,SELPLG
Selp,CD34
Selp,SELPLG
Slc18a2,5-HT
Slc18a2,Adrenaline
Slc18a2,Noradrenaline
Slc18a2,Dopamine
Slc18a3,Ach
Slc32a1,GABA-A
Slc32a1,GABA-B
Slc5a7,Ach
Slc6a11,GABA-A
Slc6a11,GABA-B
Slc6a3,Dopamine
Slc6a4,5-HT
Slc6a5,Glycine
Slc6a8,GABA-A
Slc6a8,GABA-B
Slc6a9,Glycine
Slit1,SLIT
Slit2,SLIT
Slitrk1,SLITRK
Slitrk3,SLITRK
Sorl1,APP
Sort1,NTS
Sort1,NT
Sort1,GRN
Spn,ICAM
Spn,SN
Sstr1,SOMATOSTATIN
Sstr2,SOMATOSTATIN
Sstr3,SOMATOSTATIN
Sstr4,SOMATOSTATIN
Sv2a,LAMININ
Sv2c,LAMININ
Tacr1,TAC
Tacr2,TAC
Tacr3,TAC
Tbxa2r,Prostaglandin
Tek,ANGPT
Tenm1,ADGRL
Tenm4,ADGRL
Tgfb1,TGFb
Tgfbr1,TGFb
Tgfbr1,GDF
Tgfbr1,MSTN
Tgfbr2,TGFb
Tgfbr2,GDF
Tgm2,ADGRG
Thra,Triiodothyronine
Thrb,Triiodothyronine
Tigit,NECTIN
Tigit,PVR
Tlr4,RESISTIN
Tlr4,ANGPTL
Tnfrsf11a,RANKL
Tnfrsf11b,RANKL
Tnfrsf13b,APRIL
Tnfrsf13b,BAFF
Tnfrsf13c,BAFF
Tnfrsf14,LT
Tnfrsf14,LIGHT
Tnfrsf14,BTLA
Tnfrsf14,CD160
Tnfrsf18,GITRL
Tnfrsf1a,TNF
Tnfrsf1a,LT
Tnfrsf1b,TNF
Tnfrsf1b,LT
Tnfrsf4,OX40
Tnfrsf9,CD137
Trem2,APP
Trem2,SEMA6
Trem2,ApoA
Trem2,ApoB
Trem2,ApoE
Trhr,TRH
Trhr2,TRH
Tshb,TSH
Tshr,TSH
Tyro3,GAS
Tyro3,PROS
Tyro3,TULP
Unc5c,Netrin
Vcam1,VCAM
Vdr,Calcitriol
Vip,VIP
Vipr1,VIP
Vipr1,GHRH
Vipr2,VIP
Vipr2,GHRH
Vldlr,RELN
Xcr1,XCR
